practice,list_size
A83005,11842.0
A83006,8041.666666666667
A83010,14038.333333333334
A83031,10164.0
A83034,10126.0
A83040,12088.333333333334
A83047,14722.333333333334
A83048,5626.666666666667
A83070,5522.666666666667
A83641,4851.666666666667
A83001,11184.666666666666
A83003,9226.666666666666
A83004,3830.3333333333335
A83007,9946.666666666666
A83008,5541.333333333333
A83012,16387.666666666668
A83015,10175.333333333334
A83017,7542.0
A83019,5156.333333333333
A83020,13418.0
A83021,14333.0
A83032,2449.3333333333335
A83035,7168.666666666667
A83037,13870.666666666666
A83041,7553.333333333333
A83042,4497.666666666667
A83043,2700.3333333333335
A83044,7406.666666666667
A83045,15251.666666666666
A83046,10610.333333333334
A83051,10222.333333333334
A83052,8741.0
A83054,15503.0
A83057,6313.666666666667
A83060,2990.0
A83061,3428.3333333333335
A83066,10608.333333333334
A83071,5045.666666666667
A83075,4670.666666666667
A83603,2643.6666666666665
A83616,2535.3333333333335
A83619,3026.3333333333335
A83626,2017.0
A83627,5622.0
A83011,30880.333333333332
A83014,7018.0
A83018,18860.333333333332
A83023,11461.666666666666
A83024,5662.333333333333
A83026,10125.0
A83027,6399.333333333333
A83028,9662.333333333334
A83030,12801.333333333334
A83033,8879.333333333334
A83036,11431.0
A83050,12316.666666666666
A83072,4213.333333333333
A83076,2785.3333333333335
A83617,2640.0
A83618,4440.0
A83622,1629.0
A83630,2416.3333333333335
A83632,2400.6666666666665
A83635,4107.0
A83636,5911.333333333333
A83644,3509.6666666666665
A81001,4103.0
A81006,14512.666666666666
A81007,10029.0
A81011,11933.666666666666
A81014,3816.0
A81017,19553.333333333332
A81025,4023.3333333333335
A81027,14508.333333333334
A81031,12728.333333333334
A81034,21914.333333333332
A81036,17807.666666666668
A81039,10208.666666666666
A81040,8558.333333333334
A81041,9168.333333333334
A81044,18846.666666666668
A81046,12578.0
A81056,2531.3333333333335
A81057,8920.666666666666
A81060,5684.333333333333
A81063,5465.333333333333
A81066,4470.0
A81067,11553.0
A81070,6943.666666666667
A81608,4141.0
A81610,7898.0
A81612,3315.0
A81632,475.0
A84002,5762.333333333333
A84003,13370.0
A84005,11558.666666666666
A84006,18461.333333333332
A84007,10043.0
A84008,4472.0
A84009,23400.666666666668
A84011,7557.0
A84016,6799.666666666667
A84018,7035.0
A84022,11657.0
A84024,9464.0
A84025,4923.333333333333
A84026,9092.333333333334
A84027,3361.6666666666665
A84028,18164.666666666668
A84029,2655.0
A84030,9295.333333333334
A84031,9379.0
A84034,5604.666666666667
A84035,6028.333333333333
A84036,18709.0
A84038,6240.666666666667
A84039,5482.0
A84040,3608.6666666666665
A84042,2053.6666666666665
A84043,17236.333333333332
A84044,7054.0
A84045,5398.333333333333
A84047,5418.666666666667
A84609,1570.6666666666667
A84614,1990.3333333333333
A84619,3748.3333333333335
Y00151,4786.333333333333
A81004,10336.666666666666
A81005,8014.666666666667
A81009,8786.0
A81012,5027.666666666667
A81013,6450.333333333333
A81016,9893.666666666666
A81018,10165.666666666666
A81019,9707.333333333334
A81020,8039.333333333333
A81021,13651.0
A81022,10410.333333333334
A81023,7789.333333333333
A81026,18961.666666666668
A81029,6144.0
A81030,13739.333333333334
A81032,10808.333333333334
A81035,10360.0
A81037,6836.333333333333
A81038,3641.0
A81042,13983.0
A81043,8457.333333333334
A81045,7383.0
A81048,7385.333333333333
A81049,6579.0
A81052,8586.333333333334
A81053,6460.0
A81054,8186.333333333333
A81058,8369.333333333334
A81064,6805.666666666667
A81065,3934.3333333333335
A81611,7141.666666666667
A81618,9280.0
A81621,2293.3333333333335
A81633,887.6666666666666
Y00286,3719.3333333333335
Y02483,902.0
Y03303,43.333333333333336
A88001,3061.6666666666665
A88002,17527.333333333332
A88003,13141.0
A88004,9255.333333333334
A88005,4682.333333333333
A88006,7958.666666666667
A88007,8407.666666666666
A88008,6449.0
A88009,6527.0
A88010,3163.0
A88012,6341.333333333333
A88013,19642.0
A88014,2788.6666666666665
A88015,6610.666666666667
A88016,7952.333333333333
A88022,7859.0
A88023,5178.0
A88025,5122.333333333333
A88603,2904.0
A88608,5596.333333333333
A88613,3972.3333333333335
A89001,13895.666666666666
A89002,5213.0
A89004,11267.0
A89005,5760.333333333333
A89006,7474.333333333333
A89007,10210.666666666666
A89008,4999.0
A89009,8151.333333333333
A89010,12268.666666666666
A89011,4279.333333333333
A89012,10617.666666666666
A89013,5226.666666666667
A89015,9436.0
A89016,8351.0
A89018,4862.0
A89019,9986.0
A89020,9999.666666666666
A89021,8480.666666666666
A89022,5445.333333333333
A89023,7896.666666666667
A89024,5782.666666666667
A89025,12770.666666666666
A89026,7762.333333333333
A89030,6331.666666666667
A89034,4119.666666666667
A89035,7884.666666666667
A89040,4725.0
A89041,6226.333333333333
A89603,1886.3333333333333
A89604,3998.0
A89610,236.33333333333334
A89614,4055.6666666666665
A89616,2299.3333333333335
A89617,4134.333333333333
A89623,2610.3333333333335
Y01262,29.333333333333332
P81005,11608.0
P81051,12478.666666666666
P81058,8948.0
P81061,4874.333333333333
P81125,9792.0
P81140,16568.333333333332
P81155,4544.0
P81167,5350.333333333333
P81204,4862.333333333333
P81214,4057.0
P81622,7461.333333333333
P81633,3118.0
P81643,5606.5
P81683,8002.333333333333
P81694,4175.666666666667
P81704,11175.0
P81707,5446.0
P81709,4663.333333333333
P81721,1712.3333333333333
P81724,1958.0
P81734,18321.666666666668
P81771,4983.333333333333
Y02657,6725.666666666667
P81004,5691.0
P81016,11725.333333333334
P81042,11223.666666666666
P81043,6040.0
P81054,9150.666666666666
P81063,11486.0
P81066,7152.333333333333
P81072,15894.666666666666
P81073,11751.666666666666
P81074,13407.0
P81081,4736.666666666667
P81092,8513.333333333334
P81115,12764.333333333334
P81159,13118.333333333334
P81172,9524.666666666666
P81681,13099.333333333334
P81713,2064.3333333333335
P81714,6081.666666666667
P82001,10417.333333333334
P82002,7711.0
P82005,7397.333333333333
P82006,7913.666666666667
P82007,13473.666666666666
P82008,13846.333333333334
P82009,6295.333333333333
P82011,6166.0
P82012,6021.666666666667
P82013,4021.3333333333335
P82014,7018.333333333333
P82015,20172.333333333332
P82016,12494.0
P82018,7045.0
P82020,4142.0
P82021,6860.0
P82022,4314.333333333333
P82023,9789.0
P82025,4907.666666666667
P82029,3399.3333333333335
P82031,10476.333333333334
P82033,2015.6666666666667
P82034,2904.6666666666665
P82036,2914.0
P82037,4928.0
P82607,5302.0
P82616,3072.6666666666665
P82624,3254.0
P82625,2112.6666666666665
P82626,4318.666666666667
P82627,4023.3333333333335
P82634,4074.0
P82640,4246.0
P82643,6552.666666666667
P82652,3337.0
P82660,3564.6666666666665
Y00186,1574.0
Y02319,5445.0
Y02790,6097.666666666667
Y03079,12253.333333333334
Y03366,3905.3333333333335
P83001,11310.0
P83004,8963.333333333334
P83005,4947.666666666667
P83006,8441.333333333334
P83007,8911.333333333334
P83008,7664.333333333333
P83009,7932.0
P83010,3585.3333333333335
P83011,7177.333333333333
P83017,4634.333333333333
P83019,5907.333333333333
P83020,5403.666666666667
P83023,10447.333333333334
P83024,4405.333333333333
P83027,2141.3333333333335
P83605,6765.0
P83608,5810.666666666667
P83609,4247.333333333333
P83612,4117.333333333333
P83620,4651.333333333333
P83621,3040.0
P83623,5219.333333333333
Y02755,8799.333333333334
P81010,5305.666666666667
P81033,8080.333333333333
P81038,8961.0
P81044,16219.0
P81057,12475.333333333334
P81062,8109.666666666667
P81076,11363.0
P81082,10413.0
P81083,8413.333333333334
P81117,4410.666666666667
P81127,3848.6666666666665
P81143,9826.333333333334
P81154,8278.333333333334
P81171,4276.333333333333
