practice_id,wave,method,contactable,sent,delivery_success,hits
L84063,1,e,1,1,1,1
L84072,1,e,1,1,1,0
M81006,1,e,1,1,1,0
M81034,1,e,1,1,1,0
M81067,1,e,1,1,1,3
M81072,1,e,1,1,1,0
M82041,1,e,1,1,1,0
M83015,1,e,1,1,1,0
M83074,1,e,1,1,1,0
M83619,1,e,1,1,1,0
M84021,1,e,1,1,1,0
M84031,1,e,1,1,1,0
M84043,1,e,1,1,1,0
M84061,1,e,1,1,1,2
M84615,1,e,0,0,,0
M85028,1,e,1,1,1,0
M85047,1,e,0,0,,0
M85124,1,e,1,1,1,0
M86007,1,e,1,1,1,0
N81031,1,e,1,1,1,0
N81082,1,e,1,1,1,2
N81607,1,e,1,1,1,0
N82024,1,e,1,1,1,0
N82107,1,e,0,0,,0
N83009,1,e,1,1,1,0
N84627,1,e,1,1,1,0
N85007,1,e,1,1,1,0
N85012,1,e,1,1,1,0
N85028,1,e,1,1,1,0
N85053,1,e,1,1,1,0
N85057,1,e,1,1,1,0
N85643,1,e,0,1,1,0
P81059,1,e,1,1,1,0
P81177,1,e,1,1,1,0
P81620,1,e,1,1,1,0
P81674,1,e,1,1,1,0
P81689,1,e,1,1,1,0
P82643,1,e,1,1,1,0
P84027,1,e,1,1,1,2
P84052,1,e,1,1,1,0
P84684,1,e,1,1,1,0
P85608,1,e,1,1,1,0
P85612,1,e,1,1,1,0
P85615,1,e,1,1,1,0
P86620,1,e,1,1,1,0
P87026,1,e,1,1,1,0
P87634,1,e,1,1,1,0
P91009,1,e,1,1,1,0
P91011,1,e,1,1,1,0
P91026,1,e,1,1,1,0
P91029,1,e,1,1,1,0
P91623,1,e,1,1,1,0
P92633,1,e,1,1,1,0
Y00316,1,e,1,1,1,0
Y00328,1,e,1,1,1,0
Y00507,1,e,1,1,1,1
Y00969,1,e,1,1,1,0
Y01011,1,e,1,1,1,0
Y01132,1,e,1,1,1,0
Y01206,1,e,1,1,1,0
Y01291,1,e,1,1,1,0
Y02506,1,e,1,1,1,3
Y02589,1,e,1,1,1,0
Y02811,1,e,1,1,1,0
Y03035,1,e,1,1,1,0
Y03664,1,e,1,1,1,0
A81016,2,e,1,1,1,0
A81030,2,e,1,1,1,0
A82074,2,e,1,1,1,0
A82617,2,e,1,1,1,0
A83050,2,e,1,1,1,1
A83060,2,e,1,1,,0
A84007,2,e,1,1,1,0
A86020,2,e,1,1,1,0
A89007,2,e,1,1,1,0
A89013,2,e,0,1,1,0
A89026,2,e,1,1,1,0
B81099,2,e,1,1,1,0
B81656,2,e,1,1,1,0
B82022,2,e,1,1,1,0
B82046,2,e,1,1,1,0
B82622,2,e,1,1,1,0
B83056,2,e,1,1,1,1
B86007,2,e,1,1,1,0
B86064,2,e,1,1,1,0
C81021,2,e,1,1,1,0
C81028,2,e,1,1,1,0
C81035,2,e,1,1,1,0
C82029,2,e,1,1,0,0
C82042,2,e,1,1,1,0
C82051,2,e,1,1,1,0
C82077,2,e,1,1,1,0
C82650,2,e,1,1,1,0
C82678,2,e,1,1,1,0
C83010,2,e,1,1,1,0
C83020,2,e,1,1,1,0
C83024,2,e,1,1,1,0
C83036,2,e,1,1,1,0
C83038,2,e,1,1,1,0
C83052,2,e,1,1,1,0
C83055,2,e,1,1,1,0
C83061,2,e,1,1,0,0
C83062,2,e,1,1,1,0
C83074,2,e,1,1,1,0
C87608,2,e,1,1,1,0
C88019,2,e,1,1,1,3
C88022,2,e,0,0,,0
C88051,2,e,1,1,1,0
C88076,2,e,1,1,1,0
D81002,2,e,1,1,1,0
D81004,2,e,1,1,1,1
D81008,2,e,1,1,1,0
D81028,2,e,0,1,1,0
D81031,2,e,1,1,1,0
D81039,2,e,1,1,1,0
D81040,2,e,1,1,1,0
D81044,2,e,1,1,1,0
D81045,2,e,1,1,1,1
D81046,2,e,1,1,1,0
D81050,2,e,1,1,1,0
D81051,2,e,1,1,1,0
D81066,2,e,1,1,1,0
D81081,2,e,1,1,1,0
D81086,2,e,1,1,1,0
D81612,2,e,1,1,1,0
D81619,2,e,1,1,1,0
D82012,2,e,1,1,1,0
D82020,2,e,1,1,1,0
D82030,2,e,1,1,1,0
D82034,2,e,1,1,1,0
D82038,2,e,1,1,1,0
D82039,2,e,1,1,1,1
D82065,2,e,1,1,0,0
D82070,2,e,1,1,1,0
D82071,2,e,1,1,1,0
D82072,2,e,1,1,1,0
D82076,2,e,1,1,1,0
D82079,2,e,1,1,1,0
D82085,2,e,1,1,1,0
D83006,2,e,1,1,1,0
D83020,2,e,1,1,1,0
D83037,2,e,1,1,1,0
D83062,2,e,1,1,1,0
D83067,2,e,1,1,1,1
D83078,2,e,1,1,1,0
D83079,2,e,1,1,1,0
D83615,2,e,1,1,0,0
E81632,2,e,0,1,1,0
E82008,2,e,1,1,1,1
E82015,2,e,1,1,1,0
E82049,2,e,1,1,1,0
E82077,2,e,1,1,1,0
E82090,2,e,1,1,1,0
E83024,2,e,1,1,1,0
E83026,2,e,1,1,1,0
E83037,2,e,1,1,1,0
E83039,2,e,1,1,1,0
E83053,2,e,1,1,1,0
E83638,2,e,1,1,1,0
E83649,2,e,1,1,1,0
E84012,2,e,1,1,1,0
E84013,2,e,1,1,1,0
E84024,2,e,1,1,1,0
E84030,2,e,1,1,1,0
E84036,2,e,1,1,1,0
E84080,2,e,1,1,1,0
E84658,2,e,1,1,1,0
E84669,2,e,1,1,1,0
E84693,2,e,1,1,1,0
E84696,2,e,1,1,1,0
E84713,2,e,1,1,1,0
E85021,2,e,1,1,1,0
E85026,2,e,1,1,1,0
E85038,2,e,1,1,1,0
E85040,2,e,1,1,1,0
E85054,2,e,1,1,1,0
E85074,2,e,1,1,1,0
E85075,2,e,1,1,1,0
E85088,2,e,1,1,1,0
